%time,field.data
1610116641464688437,1111
1610116641504682133,1111
1610116641544632066,1111
1610116641584668547,1111
1610116641624675737,1111
1610116641664704188,1111
1610116641704691726,1111
1610116641744629270,1111
1610116641784617999,1111
1610116641824886971,1111
1610116641864811007,1111
1610116641904686246,1111
1610116641944957830,1111
1610116641984717179,1111
1610116642024745602,1111
1610116642064615416,1111
1610116642104702395,1111
1610116642144701282,1111
1610116642184683186,1111
1610116642224738153,1111
1610116642264656820,1111
1610116642304797397,1111
1610116642344659485,1111
1610116642384717591,1111
1610116642424729144,1111
1610116642464702920,1111
1610116642504714851,1111
1610116642544769062,1111
1610116642584830222,1111
1610116642624830911,1111
1610116642664734016,7
1610116642704634091,7
1610116642744606182,7
1610116642784654962,7
1610116642824752820,7
1610116642864706510,7
1610116642904638287,7
1610116642944645352,7
1610116642984707832,7
1610116643024658254,7
1610116643064639019,7
1610116643104777909,7
1610116643144734561,7
1610116643184685254,7
1610116643224698092,7
1610116643264815046,7
1610116643304670143,7
1610116643344637068,7
1610116643384737828,7
1610116643425090671,7
1610116643464616777,7
1610116643504745664,7
1610116643544706363,7
1610116643584739054,7
1610116643624742295,7
1610116643664726243,7
1610116643704607943,7
1610116643744624143,7
1610116643784698577,7
1610116643824669901,7
1610116643864638739,7
1610116643904791538,7
1610116643944616969,7
1610116643984672178,7
1610116644024994261,7
1610116644064610902,7
1610116644104617630,7
1610116644144705869,7
1610116644184665100,7
1610116644224694913,7
1610116644264703713,7
1610116644304681240,7
1610116644344621951,7
1610116644384783434,7
1610116644424659074,7
1610116644464662799,7
1610116644504934824,7
1610116644545091194,7
1610116644584678576,7
1610116644624771564,7
1610116644664636298,7
1610116644704670666,7
1610116644744691389,7
1610116644784663742,7
1610116644824690339,7
1610116644864850140,7
1610116644904688108,7
1610116644944687092,7
1610116644984683539,7
1610116645024717198,7
1610116645064675352,7
1610116645104656412,7
1610116645144637838,7
1610116645184763003,7
1610116645224619938,7
1610116645264752900,7
1610116645304657338,7
1610116645344728815,7
1610116645384631456,7
1610116645424655299,7
1610116645464705716,7
1610116645504710962,7
1610116645544646633,7
1610116645584672577,7
1610116645624695084,7
1610116645664906355,7
1610116645704691540,7
1610116645744735178,7
1610116645784708430,7
1610116645824697516,7
1610116645864613775,7
1610116645904644758,7
1610116645944697521,7
1610116645984687220,7
1610116646024684737,7
1610116646064663040,7
1610116646104602413,7
1610116646144694449,7
1610116646184665318,7
1610116646224714688,7
1610116646265232001,7
1610116646304718178,7
1610116646344692022,7
1610116646384702507,7
1610116646424650628,7
1610116646464681872,7
1610116646504606741,7
1610116646544652284,7
1610116646584636764,7
1610116646624702691,7
1610116646664682188,7
1610116646704656590,7
1610116646745107901,7
1610116646784697428,7
1610116646824702226,7
1610116646864652781,7
1610116646904670052,7
1610116646944756086,7
1610116646984724970,7
1610116647024763382,7
1610116647064604947,7
1610116647104715116,7
1610116647144640485,7
1610116647184622633,7
1610116647224691819,7
1610116647264781830,7
1610116647304757247,7
1610116647344633295,7
1610116647384681937,7
1610116647424738530,7
1610116647464628024,7
1610116647504626613,7
1610116647544778613,7
1610116647584688935,7
1610116647624672855,7
1610116647664616118,7
1610116647704715909,7
1610116647744729329,7
1610116647784697562,7
1610116647824678814,7
1610116647864681436,7
1610116647904721673,7
1610116647944678370,7
1610116647984677023,7
1610116648024622487,7
1610116648064671798,7
1610116648104636018,7
1610116648144663185,7
1610116648184661420,7
1610116648224693027,7
1610116648264699267,7
1610116648304748450,7
1610116648345104570,7
1610116648384803398,7
1610116648424791173,7
1610116648464631193,7
1610116648504737848,7
1610116648544646723,7
1610116648584680170,7
1610116648624635221,7
1610116648664659090,7
1610116648704667613,7
1610116648744638391,7
1610116648784701474,7
1610116648824673215,7
1610116648864690161,7
1610116648904721658,7
1610116648944623011,7
1610116648984676305,7
1610116649024647926,7
1610116649064715079,7
1610116649104746520,7
1610116649144626779,7
1610116649184726417,7
1610116649224702588,7
1610116649264714022,7
1610116649305245043,7
1610116649344810925,7
1610116649384723248,7
1610116649424731284,7
1610116649464674810,7
1610116649504630129,7
1610116649544657623,7
1610116649584643498,7
1610116649624971161,7
1610116649664712957,7
1610116649704828684,7
1610116649744703719,7
1610116649784634401,7
1610116649824859900,7
1610116649864701903,7
1610116649904716457,7
1610116649944667253,7
1610116649984684283,7
1610116650024748822,7
1610116650064752578,7
1610116650104731325,7
1610116650144712569,7
1610116650184817852,7
1610116650224659824,7
1610116650264760420,7
1610116650304811993,7
1610116650344745116,7
1610116650384720255,7
1610116650424688963,7
1610116650464705381,7
1610116650504689522,7
1610116650544796908,7
1610116650585012033,7
1610116650624709818,7
1610116650664735645,-1111
1610116650704621330,-1111
1610116650744784497,-1111
1610116650784688649,-1111
1610116650824651721,-1111
1610116650864667609,-1111
1610116650904696438,-1111
1610116650944797903,-1111
1610116650984728479,-1111
1610116651024707163,-1111
1610116651064686345,-1111
1610116651104736755,-1111
1610116651144715774,-1111
1610116651184693024,-1111
1610116651224687540,-1111
1610116651264752901,-1111
1610116651304624683,-1111
1610116651344672791,-1111
1610116651384648525,-1111
1610116651424705644,-1111
1610116651464727379,-1111
1610116651504629485,-1111
1610116651544693135,-1111
1610116651584727102,-1111
1610116651624694446,-1111
1610116651664717659,-1111
1610116651704617813,-1111
