%time,field.header.seq,field.header.stamp,field.header.frame_id,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z
1610117287634422237,71979,1610117287634242949,base_link,-0.500918051444,0.456597684956,2.40723432089,-0.0148914737033,-0.0350126910934,-0.0700120689784
1610117287654273951,71980,1610117287654109882,base_link,-0.502692434674,0.455476946956,2.39925915915,-0.0148231447586,-0.0347382528185,-0.070015636747
1610117287674635685,71981,1610117287674455019,base_link,-0.497305674155,0.465644401806,2.38911941718,-0.0150345734944,-0.0344003637899,-0.0704165543022
1610117287694246760,71982,1610117287694088856,base_link,-0.476750343309,0.489670232459,2.38869893896,-0.0157212452488,-0.0336463990228,-0.0704199197418
1610117287694582843,71983,1610117287694404612,base_link,-0.489190459167,0.463414728792,2.37308303677,-0.0156167069185,-0.0338155697464,-0.070218795541
1610117287714237688,71984,1610117287714116920,base_link,-0.491717435369,0.459427400282,2.35509975832,-0.0157497604268,-0.033200044085,-0.0700247463339
1610117287734223281,71985,1610117287734070756,base_link,-0.504784763136,0.465544997551,2.35112660414,-0.0159895446844,-0.0335775681375,-0.0700187510823
1610117287754225820,71986,1610117287754065361,base_link,-0.519492607659,0.470746289753,2.35717650574,-0.0159548115418,-0.034023394482,-0.0700140012017
1610117287774272572,71987,1610117287774095966,base_link,-0.523990961186,0.458668098717,2.35135987061,-0.015576748913,-0.0342614004778,-0.0700147612818
1610117287794347524,71988,1610117287794128598,base_link,-0.519607112191,0.505615243214,2.34680169424,-0.0162999500896,-0.0342321995824,-0.0704098385106
1610117287794572478,71989,1610117287794286355,base_link,-0.525772991036,0.527605004524,2.35060110334,-0.0165425818255,-0.0346141569092,-0.0708038358979
1610117287814190702,71990,1610117287814056343,base_link,-0.51066860037,0.529681069442,2.34846520048,-0.0169237857198,-0.0343744707418,-0.0708027163747
1610117287834197620,71991,1610117287834042201,base_link,-0.507954208381,0.528951569778,2.34445297484,-0.0169208450988,-0.0343699840253,-0.070402781343
1610117287854302005,71992,1610117287854092305,base_link,-0.510419633721,0.513409752488,2.33665246125,-0.0164427043446,-0.0347857096688,-0.0708015016669
1610117287874266914,71993,1610117287874115708,base_link,-0.502813678698,0.497021880766,2.34278073244,-0.0158938225025,-0.0349224397588,-0.0708040103739
1610117287874344103,71994,1610117287874231602,base_link,-0.485331000697,0.491183670062,2.34071723509,-0.0154797851462,-0.0344374495179,-0.0704124442325
1610117287894234270,71995,1610117287894101345,base_link,-0.494202357527,0.490557474219,2.34679007731,-0.0158587672268,-0.034199909486,-0.0706123208783
1610117287914214569,71996,1610117287914088377,base_link,-0.494889757714,0.487823392348,2.34884922493,-0.0156876605682,-0.0341017121109,-0.0714178091144
1610117287934338482,71997,1610117287934189410,base_link,-0.481499349488,0.488885366453,2.3507394698,-0.0159621926877,-0.0340333992791,-0.0714165576925
1610117287954377822,71998,1610117287954094858,base_link,-0.496206655417,0.470722132107,2.35304051585,-0.0157243817626,-0.0336558533425,-0.0712206397254
1610117287954385442,71999,1610117287954253606,base_link,-0.517730474651,0.460183506484,2.36331758613,-0.0156911141107,-0.0341039153558,-0.0714158779888
1610117287974264896,72000,1610117287974105925,base_link,-0.514059539969,0.457629492578,2.34931795118,-0.0154151946813,-0.0341700481565,-0.071217164468
1610117287994262319,72001,1610117287994108375,base_link,-0.504201408528,0.456474767966,2.33725755117,-0.0157882669531,-0.0339235568102,-0.0706171351339
1610117288014358139,72002,1610117288014187175,base_link,-0.516164990072,0.472673513219,2.34516513568,-0.0163342103469,-0.0337823678618,-0.0702146439748
1610117288034265087,72003,1610117288034124177,base_link,-0.48810905493,0.468470190979,2.33500485593,-0.0161628280927,-0.0336793314371,-0.070217056447
1610117288034409649,72004,1610117288034271487,base_link,-0.456978720033,0.459101233653,2.32287949524,-0.0157531248179,-0.0332010246763,-0.0704254685528
1610117288054303513,72005,1610117288054133213,base_link,-0.441506441277,0.456756622215,2.32677237004,-0.0158601120501,-0.0330366680645,-0.0708255376347
1610117288074272140,72006,1610117288074123440,base_link,-0.439764017773,0.457831344295,2.3307477626,-0.0159299013317,-0.0333133520381,-0.0710219239304
1610117288094300965,72007,1610117288094131166,base_link,-0.455572348371,0.441279552067,2.32503299308,-0.0152128584701,-0.0333522868254,-0.0712251389036
1610117288094381469,72008,1610117288094234638,base_link,-0.485730062797,0.460527954085,2.33103875981,-0.0158316158354,-0.0334923060036,-0.0714190556105
1610117288114274061,72009,1610117288114074138,base_link,-0.519591881142,0.470603761272,2.34517604765,-0.0164127060558,-0.0340736244506,-0.0712081757562
1610117288134302471,72010,1610117288134106221,base_link,-0.53667711047,0.46037731197,2.34943804472,-0.0159317182375,-0.0344790325052,-0.0710082016378
1610117288154243404,72011,1610117288154076854,base_link,-0.539081565494,0.44492341452,2.34963632959,-0.0154816767663,-0.0344425268376,-0.0710137485816
1610117288174338831,72012,1610117288174159927,base_link,-0.522640873385,0.44077772768,2.34556151801,-0.015413345412,-0.0341681065791,-0.0710173195073
1610117288194283569,72013,1610117288194126811,base_link,-0.523686540242,0.442461968147,2.34352719525,-0.0156526266825,-0.0345468061454,-0.0708097732586
1610117288194361212,72014,1610117288194218376,base_link,-0.524745944493,0.444130077631,2.33951578497,-0.0158225415998,-0.0346475940995,-0.0706073896799
1610117288214268400,72015,1610117288214125620,base_link,-0.524687197683,0.444219937767,2.34751505693,-0.0158196044694,-0.0346431014141,-0.0702074546895
1610117288234115225,72016,1610117288234001518,base_link,-0.52399038263,0.446982919739,2.34749449395,-0.0158194117666,-0.0346371480471,-0.069807183466
1610117288254236490,72017,1610117288254073526,base_link,-0.521165853502,0.469778613356,2.3612191489,-0.0164337666678,-0.0347703814809,-0.069401154265
1610117288274741225,72018,1610117288274237894,base_link,-0.505365646869,0.451292025784,2.36531766873,-0.0157472740575,-0.0343585146515,-0.0694106438969
1610117288274892011,72019,1610117288274391561,base_link,-0.487534978986,0.440996975345,2.36330142392,-0.0151661932362,-0.0337771802377,-0.0696214603999
1610117288294369909,72020,1610117288294175346,base_link,-0.477000369252,0.465931694901,2.35294287135,-0.0155466472313,-0.0335419158847,-0.0700213007822
1610117288314308964,72021,1610117288314146785,base_link,-0.467412762003,0.492709325002,2.35456488717,-0.0159244679686,-0.0333050083939,-0.0702213609509
1610117288334372479,72022,1610117288334172334,base_link,-0.470525492733,0.474449453591,2.34480784621,-0.0153787980568,-0.0334410905949,-0.0704245102014
1610117288354404234,72023,1610117288354124570,base_link,-0.454332927876,0.474916889087,2.35468416176,-0.0153104568437,-0.0331666728779,-0.0704280877563
1610117288354487082,72024,1610117288354283267,base_link,-0.443374145019,0.460475020975,2.3507648631,-0.0151405443696,-0.0330658850604,-0.0706305205725
1610117288375207805,72025,1610117288374627766,base_link,-0.434083035931,0.445078774819,2.3548567051,-0.0148696160986,-0.0331413563121,-0.0710305281184
1610117288394280803,72026,1610117288394114319,base_link,-0.436788463315,0.434145108983,2.3589997833,-0.0146664563978,-0.0334886448521,-0.0714281807809
1610117288414228957,72027,1610117288414099108,base_link,-0.432787653599,0.450463847611,2.34677817178,-0.0151074784261,-0.0335230094909,-0.0714262343514
1610117288434808415,72028,1610117288434189421,base_link,-0.450689133823,0.472330534476,2.34066389576,-0.016137313921,-0.0341435316965,-0.0716117726595
1610117288434833916,72029,1610117288434299871,base_link,-0.471220630172,0.48337833135,2.34869140041,-0.0168214521691,-0.0345534923519,-0.0714021057555
1610117288454339392,72030,1610117288454146346,base_link,-0.488342594141,0.484785458738,2.35282653701,-0.016815999433,-0.0345433026135,-0.0708037064652
1610117288474232452,72031,1610117288474093044,base_link,-0.490723051409,0.481033667217,2.35488610069,-0.0167447402094,-0.0342644162277,-0.0704072876657
1610117288494385668,72032,1610117288494158253,base_link,-0.499920969522,0.461531829597,2.35915908337,-0.0163060470604,-0.0342368500681,-0.0708086161141
1610117288514216748,72033,1610117288514048490,base_link,-0.491394647029,0.466603502459,2.35101978226,-0.0158931999935,-0.0337554093314,-0.0706169470611
1610117288514369802,72034,1610117288514223414,base_link,-0.480440075215,0.475507361883,2.34883908254,-0.0156534839041,-0.0333779431299,-0.0706229478203
1610117288534222339,72035,1610117288534055708,base_link,-0.495191706005,0.480641843705,2.34888974527,-0.0157930915844,-0.033931291977,-0.07101576125
1610117288554255376,72036,1610117288554137225,base_link,-0.498978920446,0.483032631261,2.34890148029,-0.0159328308474,-0.0344823988403,-0.0712077853232
1610117288574243387,72037,1610117288574092902,base_link,-0.49316547476,0.500528069333,2.34866200931,-0.0162742101221,-0.0346862603734,-0.0710029267197
1610117288595603239,72038,1610117288594821885,base_link,-0.508537073906,0.456307132326,2.35327260685,-0.0154482711103,-0.0348906580044,-0.0710077217515
1610117288595610066,72039,1610117288595286658,base_link,-0.515383533542,0.440524325654,2.35350000975,-0.0151376198864,-0.0354026129303,-0.0708042587127
1610117288614291772,72040,1610117288614144665,base_link,-0.513410120424,0.436961015203,2.34152450423,-0.0149677066384,-0.0353018220352,-0.0710066422282
1610117288634272319,72041,1610117288634098789,base_link,-0.512443199859,0.43513619156,2.32952969926,-0.0150048028677,-0.0348580059834,-0.0712115650342
1610117288654359293,72042,1610117288654185006,base_link,-0.517471181516,0.420540838347,2.34373159508,-0.0148363507608,-0.0347594684259,-0.0716139620935
1610117288654612359,72043,1610117288654369603,base_link,-0.503824979268,0.452039514726,2.33727745661,-0.0152837339077,-0.034796403148,-0.0718103144959
1610117288674306192,72044,1610117288674156245,base_link,-0.494975804427,0.464304738853,2.32907414339,-0.0153213002357,-0.0343550145422,-0.0722150465788
1610117288694815392,72045,1610117288694657275,base_link,-0.494242357079,0.467135449146,2.33705109131,-0.0154175536449,-0.0341761250139,-0.0718185116867
1610117288714273208,72046,1610117288714155599,base_link,-0.492512074279,0.468189165682,2.33902670245,-0.0152447048203,-0.0340708609188,-0.0716209003706
1610117288734289068,72047,1610117288734108862,base_link,-0.488199448806,0.468340086262,2.32302024415,-0.0149707962582,-0.0341344330405,-0.0712205146748
1610117288754464843,72048,1610117288754192391,base_link,-0.47989153665,0.466400002027,2.33298156357,-0.0151085193432,-0.0335171525962,-0.0712263964753
1610117288754468433,72049,1610117288754315269,base_link,-0.47091621078,0.467181779748,2.34090731787,-0.0156560227033,-0.0333782291903,-0.0710238583475
1610117288774391042,72050,1610117288774188707,base_link,-0.460476715118,0.450227416847,2.35699221268,-0.0154170878433,-0.0330054974949,-0.071229551588
